startX,bin,pins
980.5,bin8,'pinR1C10|pinR1C9|pinR2C9|pinR5C11|wall|pinR5C11|rightwall|wall|pinR7C11|pinR8C10|pinR9C10|sep|pinSep8|sep|'
90.5,bin1,'pinR1C1|pinR1C1|pinR2C1|pinR3C1|pinR4C1|pinR5C2|pinR4C2|pinR5C2|pinR7C1|wall|wall|pinR9C1|pinR9C2|pinR11C1|wallsep|pinR11C1|pinR11C1|pinSep1|pinSep1|pinSep1|sep|'
973.5,bin11,'pinR1C10|pinR5C8|pinR4C7|pinR7C9|wallsep|pinR11C11|wallsep|pinR11C11|wallsep|'
743.5,bin6,'pinR2C7|pinR1C8|pinR4C7|pinR5C8|pinR6C8|pinR5C8|pinR8C7|pinR7C8|pinR9C8|pinR9C7|pinR10C7|'
969.5,bin10,'pinR1C10|pinR3C9|pinR3C8|pinR6C9|pinR5C10|pinR7C10|pinR7C11|pinR8C10|pinR11C9|pinR10C9|pinR11C9|'
238.5,bin1,'pinR2C2|pinR2C2|pinR2C2|pinR3C3|pinR3C2|pinR6C1|pinR5C2|pinR10C1|pinR11C2|wallsep|'
323.5,bin2,'pinR2C3|pinR2C2|pinR5C2|leftwall|pinR7C1|wall|wall|pinR10C1|pinR10C2|pinR9C3|pinR11C3|'
1076.5,bin11,'pinR1C11|pinR1C10|pinR3C11|wall|wall|pinR6C10|pinR5C10|pinR6C10|pinR7C10|wall|pinR10C10|wallsep|pinR11C11|wallsep|'
392.5,bin1,'pinR1C4|pinR2C4|pinR4C3|pinR3C3|pinR5C3|pinR7C4|pinR7C3|pinR7C3|pinR8C3|pinR10C2|pinR9C2|pinR10C1|pinR11C2|pinSep1|wallsep|'
122.5,bin2,'pinR2C1|wall|leftwall|wall|pinR5C1|pinR4C1|pinR6C1|pinR7C1|wall|pinR8C1|wall|'
435.5,bin4,'pinR2C4|pinR1C4|pinR3C4|pinR4C4|pinR5C5|pinR4C5|pinR5C5|pinR6C4|pinR8C3|pinR7C4|pinR10C4|pinR9C4|pinR11C4|pinSep4|sep|'
1076.5,bin10,'pinR1C11|pinR1C10|pinR2C10|pinR3C11|rightwall|wall|pinR5C11|pinR5C10|pinR6C10|pinR7C11|pinR6C10|pinR8C10|pinR10C9|pinR10C10|pinR11C10|pinSep10|'
62.5,bin2,'wall|pinR4C1|pinR4C2|pinR3C2|pinR6C1|pinR6C2|pinR7C3|pinR9C2|pinR9C1|pinR9C1|wall|pinSep1|sep|sep|'
800.5,bin9,'pinR1C8|pinR1C9|pinR2C8|pinR3C8|pinR5C7|pinR5C6|pinR6C6|pinR7C6|pinR7C6|pinR8C6|pinR8C6|pinR9C7|pinR10C7|pinR10C8|pinR11C8|pinR11C8|pinSep8|pinSep8|'
