509.14270019531 bin6pinR1C16,pinR2C15,pinR2C14,pinR1C6,pinR3C6,
1246 bin13bin6,sep,pinR1C14,pinR3C13,pinR2C12,pinR9C13,pinR11C13,
1057 bin14bin13,pinR1C12,pinR3C11,pinR2C10,pinR1C11,pinR2C10,pinR4C11,pinR3C11,pinR4C12,pinR3C13,pinR3C13,pinR2C13,pinR3C12,pinR1C12,pinR3C12,pinR4C11,pinR4C12,pinR6C12,pinR7C12,pinR7C12,pinR6C11,pinR7C11,pinR7C10,pinR6C10,pinR9C10,pinR10C10,pinR10C10,pinR11C10,pinR11C11,pinR11C12,pinR11C12,pinSep13,
1340 bin10bin14,pinR1C15,pinR1C15,pinR1C14,pinR2C14,pinR2C13,pinR3C14,pinR6C12,pinR4C12,pinR6C12,pinR5C12,pinR6C12,pinR8C11,pinR8C10,pinR8C10,pinR9C11,pinR11C10,pinR10C9,pinSep9,pinSep9,pinSep9,sep,
1412 bin18pinR1C16,pinR2C15,pinR1C15,pinR2C15,pinR3C15,pinR9C18,pinR9C19,pinR10C18,pinR11C18,pinR11C17,pinSep18,
1246 bin16pinR11C18,pinR1C14,pinR3C13,pinR5C14,pinR4C13,pinR5C13,pinR5C14,pinR7C13,pinR8C13,pinR7C13,pinR8C13,pinR9C13,pinR8C13,pinR10C13,pinR11C15,pinSep14,pinR11C15,pinSep14,sep,
1412 bin16pinR1C16,pinR2C15,pinR1C15,pinR2C15,pinR3C15,pinR2C15,pinR3C15,pinR3C16,pinR4C15,pinR5C15,pinR4C15,pinR6C15,pinR6C16,pinR7C16,pinR6C14,pinR7C15,pinR6C13,pinR7C14,pinR7C13,pinR8C13,pinR9C15,pinR8C16,pinR11C16,pinR11C17,pinR10C16,
1246 bin15pinSep16,sep,bin16,pinSep15,sep,pinR1C14,pinR3C13,pinR5C14,pinR5C13,pinR4C13,pinR6C13,pinR5C13,pinR6C12,pinR6C11,pinR7C12,pinR4C11,pinR6C11,pinR5C11,pinR4C11,pinR5C11,pinR6C12,pinR7C12,pinR6C12,pinR7C12,pinR8C13,pinR7C14,pinR9C14,pinR10C15,pinR9C15,pinSep15,sep,
1057 bin10bin15,pinR11C15,pinR1C12,pinR1C11,pinR2C11,pinR1C11,pinR2C10,pinR1C10,pinR1C10,pinR2C9,pinR1C10,pinR4C9,pinR5C10,pinR5C10,pinR5C9,pinR4C9,pinR6C9,pinR5C9,pinR7C8,pinR6C9,pinR8C9,pinR8C9,pinR9C10,pinR10C10,pinR10C11,pinSep10,
1412 bin17pinR1C16,pinR2C15,pinR2C16,pinR2C16,pinR3C16,pinR5C17,pinR5C18,pinR7C17,pinR7C17,pinR8C17,pinR9C17,pinR10C16,pinR10C17,pinSep16,
1246 bin8bin17,pinR1C14,pinR3C13,pinR3C14,pinR5C13,pinR5C13,pinR7C12,pinR8C12,pinSep10,pinSep9,pinSep8,pinSep8,sep,sep,
1057 bin10bin8,pinR1C12,pinR1C11,pinR2C11,pinR1C11,pinR2C11,pinR3C11,pinR3C11,pinR2C10,pinR3C9,pinR2C8,pinR2C8,pinR1C10,pinR2C9,pinR2C10,pinR4C10,pinR3C10,pinR4C10,pinR3C10,pinR4C9,pinR6C10,pinR6C9,pinR8C9,pinR7C10,
1412 bin18pinR1C16,pinR2C15,pinR2C14,pinR4C15,pinR5C16,pinR4C15,pinR6C15,pinR9C17,pinR10C18,pinR11C18,pinSep18,sep,sep,
1246 bin11bin18,pinR1C14,pinR3C13,pinR4C13,pinR5C14,pinR6C14,pinR5C15,pinR8C14,pinR9C15,pinR9C15,pinR8C13,pinR9C14,pinR11C12,pinR11C13,pinR10C12,pinR11C14,pinR10C13,pinR11C14,pinSep12,pinSep10,sep,pinSep11,sep,
1412 bin16pinR1C16,pinR2C15,pinR2C16,pinR3C16,pinR4C16,pinR5C17,pinR4C17,pinR5C18,pinR6C17,pinR7C18,pinR10C16,pinR9C16,pinR10C16,sep,pinSep16,
1246 bin12pinR1C14,pinR1C13,pinR1C13,pinR1C13,pinR2C12,pinR3C13,pinR4C12,pinR3C13,pinR8C12,pinR9C13,pinR8C12,pinR7C13,pinR9C13,pinR10C12,pinR9C13,pinR11C13,pinR9C13,pinR10C13,pinR10C12,
1057 bin10pinR1C12,pinR1C11,pinR2C11,pinR1C11,pinR2C9,pinR4C9,pinR3C10,pinR5C10,pinR6C9,pinR7C10,pinR6C9,pinR8C9,pinR7C10,pinR7C10,pinR6C9,pinR8C9,pinR9C10,pinR7C10,pinSep10,sep,sep,
1340 bin14pinR1C15,pinR1C15,pinR2C13,pinR1C14,pinR4C13,pinR5C14,pinR5C14,pinR4C13,pinR4C12,pinR5C13,pinR6C13,pinR6C14,pinR8C14,pinR9C14,pinR9C15,pinR10C14,pinR9C15,pinR11C15,pinR11C16,pinSep15,pinSep14,sep,
171 bin3pinR1C2,pinR1C2,pinR1C3,pinR4C1,pinR3C2,pinR4C2,wall,pinR6C1,pinR7C1,pinR6C1,pinR8C2,pinR8C1,pinR8C1,pinR9C1,wall,wall,pinR11C2,pinSep1,
1180 bin14pinR1C13,pinR2C13,pinR1C13,pinR6C13,pinR7C13,pinR7C14,pinR7C14,pinR6C13,pinR5C14,pinR7C14,pinR6C14,pinR8C14,pinR8C15,pinR9C16,pinR9C15,pinR10C14,pinR9C15,pinR11C15,pinR10C14,pinR11C15,pinR9C15,pinR11C15,pinSep14,sep,
